,Review,Rating,Sentimen,Label
0,The Keto Diet  by Leanne Vogel  was my first keto book  The Keto Diet is a book that I use on a daily basis and it has grown with me and my keto journey  I am not sure what I was expecting from Simply Keto  maybe additional information or another book like The Keto Diet  Simply Keto is my  nd favorite keto book right now  but I am not sure I d buy it again  because The Keto Diet has more information and is easier to navigate   in my opinion  Clearly MANY people love this book and it s a good book    but   ,3,Positif,1
1,To many ingredients unless it s a holiday ,2,Negatif,0
2,Information is there  meal plans exceed the recommended max daily carb count  Asked for support via Facebook page  website   nothing  Keep it for a cookbook only  Don t believe Suzanne when she says she s here for help  No she isn t ,3,Negatif,0
3,Simple not too many recipes but does the trick,3,Negatif,0
4,Hope you like cream cheese,3,Positif,1
5,Like the recipes  But would have liked single portion measurements ,2,Negatif,0
6,Easy and informative  Great recipes  The food choices are good for every day and easy to make  Good information on amount of protien  fat and carbs,1,Positif,1
7,didn t finish reading  too complicate a food plan for me,3,Positif,1
8,Can t endorse this diet  Too much fat and food restrictions that seem to limit healthy eating  I bet it works  but don t feel comfortable with my mental health thinking I am not getting a balanced nutritional diet  Everyone has their own idea of what a healthy diet looks like ,3,Positif,1
9,Redundant  The author clearly told how she lost     pounds  however  in the frequently asked questions  she filled the book with the exact information previously penned  Many recipes are cooked in a microwave  so if you prefer not to use a microwave  you are out of luck  In the Kindle edition  the charts and table are so small that they are illegible,1,Positif,1
10,interesting,3,Positif,1
11,Not so different from Keto essentials  Even lots of recipes looks the same ,1,Negatif,0
12,Never used any of these recipes  I m Puerto Rican and I feel like the food just wasn t for me  I just researched all my food and add my own keto friendly ingredients  I felt it was a waste of my money,1,Negatif,0
13,Her books are definitely not what they used to be  I ve read them all more than once but I can t get invested in the characters the way I used to  This one could have used another chapter to let us know what Willa s up to  That being said all her books are like putting on your old comfy sweatshirt and I m sure I ll read the next one ,3,Negatif,0
14,Maybe I set my expectations too high  but this book was so anticlimactic I was upset at having to pay    bucks for it  The story was only ok with an abrupt and predictable ending  Characters ho hum  writing blah  It started out strong but petered out  as if even the author got bored with it ,3,Negatif,0
15,Not my favorite Tyler book  Spoiler alert  ends abruptly and the reader is left unsatisfied  There could have been so much more depth to the protagonist  Disjointed and unexplained family connections and the feeling that so much was missing from the story left me disappointed ,2,Negatif,0
16,I found this book to be very mundane for many pages  The plot was a little unbelievable and the main character learns what she needs to but not until almost the very end when I had stopped caring  It just didn t work for me  but I m sure other people liked it ,2,Negatif,0
17,I ve never written a review before but this is hands down the worst book I have ever read  Forget about the fact that he writing is average  there is no story here  No character development  no conflict or resolution  no plot period  The only positive I got out of wasting my time reading it is that other books that I thought were average now seem like masterpieces  Forget about the money that I spent I would like the   hours total it took me to get through the book back,1,Negatif,0
18,A portion of everyday life  Nothing much happens  Introduced to people  Living their lives  I read it fast  But I wasn t impressed by the story at all  Felt I ve read it in anne Tyler s books before ,3,Negatif,0
19, I  didn t find this novel as captivating as I had hoped  I didn t feel like I knew the character until half way through the book but I did enjoy the second half  I also found the ending to be abrupt as another review mentioned  I honestly hoped for more from this popular author but I m giving it a three because at least I was able to finish i,3,Negatif,0
20,Clock Dance was completely boring  maybe that was the point that the main character was living a boring life  It felt like it was written by a first time author who had trouble with the plot ,1,Negatif,0
21,Waste of time and money  Had high hopes and kept waiting for something  anything to grab my attention but to no avail,2,Negatif,0
22,This book is so lightweight  the storyline not even remotely realistic or believable  and just zero depth  Double Oy  Very disappointed  I m unclear how this book got good reviews  Just ridiculous ,1,Negatif,0
23,I enjoyed the book  but found the ending bizarre  I didn t see that coming   I am not sure what to think at this point ,2,Positif,1
24,B N is really working this book up for their August book club pick  unfortunately it was not for me  I was waiting for the  climax  until the very last page  It never happened   ,3,Negatif,0
25,Held my interest and liked the characters  Abrupt ending  Would have liked additional reaction from the family and the town,3,Positif,1
26,A story about a woman going through life and adjustng herself to the people around her  Does she find her hqppy self  ,3,Positif,1
27,This novel is not up to Ms  Tyler s usual standard  I found the characters flat  not well drawn out  and the plot not well developed  The ending was way too abrupt  pretty unbelievable while being predictable at the same time  The story seems to be an outline that was never fully brought to fruition  I have to say I found this book boring and uninspired ,2,Negatif,0
28,What has happened to Ann Tyler    Her books used to be wonderful but the last   have been awful  And this book    B O R I N G blah  I don t get all those   stars applauds ,1,Negatif,0
29,I normally like Anne Tyler s work  but this one  not so much  I tried and tried to finish this book  but by the halfway point I came to the conclusion that the characters were just flat to me  I couldn t determine any feelings or personality in them  The book was like watching tv with the sound turned off  I finally gave up  But I really did try to like i,2,Negatif,0
30,This was a free  NetGalley  ARC given for an honest review  Sadly  this is not a book I can recommend  I couldn t find anything endearing about the main character  I wanted to like her but couldn t  The plot was drawn out and the ending was flat and abrupt   ebook  kindle,1,Negatif,0
31,What a boring predictable book  It ended  I closed the book and said  wow     awful  What a waste of money  Uninteresting predictable characters  No one particularly sympathetic   not even the dog  What did it take Tyler    an hour to write this dribble     ,2,Negatif,0
32,Well I read this as part of a book club  I have mixed feelings  I am usually very easy to please and just like a good story but I did not see how this was a well written book at all  I found the continuous descriptions tiresome and not particularly insightful  I did like the story once Willa got to Baltimore and appreciated the fact that it wasn t told in layers of profanity  Gosh I just wasn t all that impressed,3,Negatif,0
33,I did not care for the timeline jumps or any of the characters   aside from Willa s dad  I did not find any of the characters likable  Only finished for book club  I am actually not looking forward to having to discuss this book at all ,1,Negatif,0
